study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Brassica_napus_Brazil_2011,L2 Snitowski,Apis_mellifera,honeybees,sweep net,6,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L2 Snitowski,Apis_mellifera,honeybees,sweep net,6,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L2 Snitowski,Apis_mellifera,honeybees,sweep net,5,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L2 Snitowski,Apis_mellifera,honeybees,sweep net,4,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L2 Snitowski,Apis_mellifera,honeybees,sweep net,2,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L2 Snitowski,Apis_mellifera,honeybees,sweep net,3,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L2 Snitowski,Apis_mellifera,honeybees,sweep net,4,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L2 Snitowski,Apis_mellifera,honeybees,sweep net,1,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,6,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,10,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,6,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,7,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,5,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,10,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,1,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,2,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,5,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,4,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,3,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,4,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,6,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,4,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,11,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,10,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,7,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
Brassica_napus_Brazil_2011,L3 Karlec,Apis_mellifera,honeybees,sweep net,11,2700,270,NA,"In each field abundance of floral visitors was analysed by sweep-netting all visitors along six 25 m long and 2 m wide transects for five minutes each, for a total of 30 minutes of sampling. Sampling was further repeated on at least three dates during the main flowering period"
